date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,27,10,0,0
2021-04-02,Japan,0,87,34,0,0
2021-04-02,Sweden,0,5,4,0,0
2021-04-03,Afghanistan,0,23,14,0,0
2021-04-03,Japan,0,59,62,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,20,17,0,0
2021-04-04,Japan,0,42,79,0,0
2021-04-04,Sweden,0,5,4,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Japan,0,32,89,0,0
2021-04-05,Sweden,0,1,8,0,0
2021-04-06,Afghanistan,0,13,24,0,0
2021-04-06,Japan,0,20,101,0,0
2021-04-06,Sweden,0,1,8,0,0
2021-04-07,Afghanistan,0,10,17,5,5
2021-04-07,Japan,0,13,74,14,20
2021-04-07,Sweden,0,1,4,1,3
2021-04-08,Afghanistan,0,7,16,8,6
2021-04-08,Japan,0,11,48,26,36
2021-04-08,Sweden,0,1,4,1,3
2021-04-09,Afghanistan,0,7,13,8,9
2021-04-09,Japan,0,10,32,35,44
2021-04-09,Sweden,0,1,4,1,3
2021-04-10,Afghanistan,0,7,9,8,13
2021-04-10,Japan,0,8,24,38,51
2021-04-10,Sweden,0,1,0,4,4
2021-04-11,Afghanistan,0,6,7,9,15
2021-04-11,Japan,0,6,14,44,57
2021-04-11,Sweden,0,1,0,4,4
2021-04-12,Afghanistan,0,4,6,11,16
2021-04-12,Japan,0,6,7,47,61
2021-04-12,Sweden,0,1,0,4,4
2021-04-13,Afghanistan,0,4,3,13,17
2021-04-13,Japan,0,6,5,48,62
2021-04-13,Sweden,0,1,0,4,4
2021-04-14,Afghanistan,0,4,3,13,17
2021-04-14,Japan,0,3,7,49,62
2021-04-14,Sweden,0,1,0,4,4
2021-04-15,Afghanistan,0,4,3,13,17
2021-04-15,Japan,0,3,5,51,62
2021-04-15,Sweden,0,1,0,4,4
2021-04-16,Afghanistan,0,3,3,13,18
2021-04-16,Japan,0,2,4,51,64
2021-04-16,Sweden,0,1,0,4,4
2021-04-17,Afghanistan,0,3,1,14,19
2021-04-17,Japan,0,2,4,51,64
2021-04-17,Sweden,0,1,0,4,4
2021-04-18,Afghanistan,0,3,1,14,19
2021-04-18,Japan,0,2,4,51,64
2021-04-18,Sweden,0,1,0,4,4
2021-04-19,Afghanistan,0,3,1,14,19
2021-04-19,Japan,0,2,1,54,64
2021-04-19,Sweden,0,0,1,4,4
2021-04-20,Afghanistan,0,2,2,14,19
2021-04-20,Japan,0,1,2,54,64
2021-04-20,Sweden,0,0,1,4,4
2021-04-21,Afghanistan,0,1,2,15,19
2021-04-21,Japan,0,0,2,54,65
2021-04-21,Sweden,0,0,1,4,4
2021-04-22,Afghanistan,0,1,2,20,14
2021-04-22,Japan,5,0,2,69,45
2021-04-22,Sweden,2,0,1,5,1
2021-04-23,Afghanistan,0,1,2,21,13
2021-04-23,Japan,6,0,2,84,29
2021-04-23,Sweden,2,0,1,5,1
2021-04-24,Afghanistan,1,1,2,23,10
2021-04-24,Japan,7,0,2,91,21
2021-04-24,Sweden,2,0,0,5,2
2021-04-25,Afghanistan,1,0,2,28,6
2021-04-25,Japan,9,0,1,97,14
2021-04-25,Sweden,2,0,0,6,1
2021-04-26,Afghanistan,1,0,1,30,5
2021-04-26,Japan,9,0,0,103,9
2021-04-26,Sweden,2,0,0,6,1
2021-04-27,Afghanistan,1,0,1,31,4
2021-04-27,Japan,11,0,0,105,5
2021-04-27,Sweden,2,0,0,6,1
2021-04-28,Afghanistan,1,0,1,32,3
2021-04-28,Japan,11,0,0,106,4
2021-04-28,Sweden,2,0,0,6,1
2021-04-29,Afghanistan,1,0,1,32,3
2021-04-29,Japan,11,0,0,106,4
2021-04-29,Sweden,2,0,0,6,1
2021-04-30,Afghanistan,1,0,0,33,3
2021-04-30,Japan,11,0,0,106,4
2021-04-30,Sweden,2,0,0,6,1
2021-05-01,Afghanistan,1,0,0,34,2
2021-05-01,Japan,11,0,0,108,2
2021-05-01,Sweden,2,0,0,6,1
2021-05-02,Afghanistan,1,0,0,35,1
2021-05-02,Japan,11,0,0,108,2
2021-05-02,Sweden,2,0,0,6,1
2021-05-03,Afghanistan,1,0,0,35,1
2021-05-03,Japan,11,0,0,108,2
2021-05-03,Sweden,2,0,0,6,1
2021-05-04,Afghanistan,1,0,0,35,1
2021-05-04,Japan,11,0,0,108,2
2021-05-04,Sweden,2,0,0,6,1
2021-05-05,Afghanistan,1,0,0,35,1
2021-05-05,Japan,11,0,0,108,2
2021-05-05,Sweden,2,0,0,6,1
2021-05-06,Afghanistan,1,0,0,35,1
2021-05-06,Japan,11,0,0,109,1
2021-05-06,Sweden,2,0,0,6,1
2021-05-07,Afghanistan,1,0,0,35,1
2021-05-07,Japan,11,0,0,109,1
2021-05-07,Sweden,2,0,0,6,1
2021-05-08,Afghanistan,1,0,0,35,1
2021-05-08,Japan,11,0,0,109,1
2021-05-08,Sweden,2,0,0,6,1
2021-05-09,Afghanistan,1,0,0,35,1
2021-05-09,Japan,11,0,0,109,1
2021-05-09,Sweden,2,0,0,7,0
2021-05-10,Afghanistan,1,0,0,35,1
2021-05-10,Japan,11,0,0,109,1
2021-05-10,Sweden,2,0,0,7,0
2021-05-11,Afghanistan,1,0,0,36,0
2021-05-11,Japan,11,0,0,110,0
2021-05-11,Sweden,2,0,0,7,0
2021-05-12,Afghanistan,1,0,0,36,0
2021-05-12,Japan,11,0,0,110,0
2021-05-12,Sweden,2,0,0,7,0
2021-05-13,Afghanistan,1,0,0,36,0
2021-05-13,Japan,11,0,0,110,0
2021-05-13,Sweden,2,0,0,7,0
2021-05-14,Afghanistan,1,0,0,36,0
2021-05-14,Japan,11,0,0,110,0
2021-05-14,Sweden,2,0,0,7,0
2021-05-15,Afghanistan,1,0,0,36,0
2021-05-15,Japan,11,0,0,110,0
2021-05-15,Sweden,2,0,0,7,0
2021-05-16,Afghanistan,1,0,0,36,0
2021-05-16,Japan,11,0,0,110,0
2021-05-16,Sweden,2,0,0,7,0
2021-05-17,Afghanistan,1,0,0,36,0
2021-05-17,Japan,11,0,0,110,0
2021-05-17,Sweden,2,0,0,7,0
2021-05-18,Afghanistan,1,0,0,36,0
2021-05-18,Japan,11,0,0,110,0
2021-05-18,Sweden,2,0,0,7,0
2021-05-19,Afghanistan,1,0,0,36,0
2021-05-19,Japan,11,0,0,110,0
2021-05-19,Sweden,2,0,0,7,0
2021-05-20,Afghanistan,1,0,0,36,0
2021-05-20,Japan,11,0,0,110,0
2021-05-20,Sweden,2,0,0,7,0
2021-05-21,Afghanistan,1,0,0,36,0
2021-05-21,Japan,11,0,0,110,0
2021-05-21,Sweden,2,0,0,7,0
2021-05-22,Afghanistan,1,0,0,36,0
2021-05-22,Japan,11,0,0,110,0
2021-05-22,Sweden,2,0,0,7,0
2021-05-23,Afghanistan,1,0,0,36,0
2021-05-23,Japan,11,0,0,110,0
2021-05-23,Sweden,2,0,0,7,0
2021-05-24,Afghanistan,1,0,0,36,0
2021-05-24,Japan,11,0,0,110,0
2021-05-24,Sweden,2,0,0,7,0
2021-05-25,Afghanistan,1,0,0,36,0
2021-05-25,Japan,11,0,0,110,0
2021-05-25,Sweden,2,0,0,7,0
2021-05-26,Afghanistan,1,0,0,36,0
2021-05-26,Japan,11,0,0,110,0
2021-05-26,Sweden,2,0,0,7,0
2021-05-27,Afghanistan,1,0,0,36,0
2021-05-27,Japan,11,0,0,110,0
2021-05-27,Sweden,2,0,0,7,0
2021-05-28,Afghanistan,1,0,0,36,0
2021-05-28,Japan,11,0,0,110,0
2021-05-28,Sweden,2,0,0,7,0
2021-05-29,Afghanistan,1,0,0,36,0
2021-05-29,Japan,11,0,0,110,0
2021-05-29,Sweden,2,0,0,7,0
2021-05-30,Afghanistan,1,0,0,36,0
2021-05-30,Japan,11,0,0,110,0
2021-05-30,Sweden,2,0,0,7,0
2021-05-31,Afghanistan,1,0,0,36,0
2021-05-31,Japan,11,0,0,110,0
2021-05-31,Sweden,2,0,0,7,0
2021-06-01,Afghanistan,1,0,0,36,0
2021-06-01,Japan,11,0,0,110,0
2021-06-01,Sweden,2,0,0,7,0
2021-06-02,Afghanistan,1,0,0,36,0
2021-06-02,Japan,11,0,0,110,0
2021-06-02,Sweden,2,0,0,7,0
2021-06-03,Afghanistan,1,0,0,36,0
2021-06-03,Japan,11,0,0,110,0
2021-06-03,Sweden,2,0,0,7,0
2021-06-04,Afghanistan,1,0,0,36,0
2021-06-04,Japan,11,0,0,110,0
2021-06-04,Sweden,2,0,0,7,0
2021-06-05,Afghanistan,1,0,0,36,0
2021-06-05,Japan,11,0,0,110,0
2021-06-05,Sweden,2,0,0,7,0
2021-06-06,Afghanistan,1,0,0,36,0
2021-06-06,Japan,11,0,0,110,0
2021-06-06,Sweden,2,0,0,7,0
2021-06-07,Afghanistan,1,0,0,36,0
2021-06-07,Japan,11,0,0,110,0
2021-06-07,Sweden,2,0,0,7,0
2021-06-08,Afghanistan,1,0,0,36,0
2021-06-08,Japan,11,0,0,110,0
2021-06-08,Sweden,2,0,0,7,0
2021-06-09,Afghanistan,1,0,0,36,0
2021-06-09,Japan,11,0,0,110,0
2021-06-09,Sweden,2,0,0,7,0
2021-06-10,Afghanistan,1,0,0,36,0
2021-06-10,Japan,11,0,0,110,0
2021-06-10,Sweden,2,0,0,7,0
2021-06-11,Afghanistan,1,0,0,36,0
2021-06-11,Japan,11,0,0,110,0
2021-06-11,Sweden,2,0,0,7,0
2021-06-12,Afghanistan,1,0,0,36,0
2021-06-12,Japan,11,0,0,110,0
2021-06-12,Sweden,2,0,0,7,0
2021-06-13,Afghanistan,1,0,0,36,0
2021-06-13,Japan,11,0,0,110,0
2021-06-13,Sweden,2,0,0,7,0
2021-06-14,Afghanistan,1,0,0,36,0
2021-06-14,Japan,11,0,0,110,0
2021-06-14,Sweden,2,0,0,7,0
2021-06-15,Afghanistan,1,0,0,36,0
2021-06-15,Japan,11,0,0,110,0
2021-06-15,Sweden,2,0,0,7,0
2021-06-16,Afghanistan,1,0,0,36,0
2021-06-16,Japan,11,0,0,110,0
2021-06-16,Sweden,2,0,0,7,0
2021-06-17,Afghanistan,1,0,0,36,0
2021-06-17,Japan,11,0,0,110,0
2021-06-17,Sweden,2,0,0,7,0
2021-06-18,Afghanistan,1,0,0,36,0
2021-06-18,Japan,11,0,0,110,0
2021-06-18,Sweden,2,0,0,7,0
2021-06-19,Afghanistan,1,0,0,36,0
2021-06-19,Japan,11,0,0,110,0
2021-06-19,Sweden,2,0,0,7,0
2021-06-20,Afghanistan,1,0,0,36,0
2021-06-20,Japan,11,0,0,110,0
2021-06-20,Sweden,2,0,0,7,0
2021-06-21,Afghanistan,1,0,0,36,0
2021-06-21,Japan,11,0,0,110,0
2021-06-21,Sweden,2,0,0,7,0
2021-06-22,Afghanistan,1,0,0,36,0
2021-06-22,Japan,11,0,0,110,0
2021-06-22,Sweden,2,0,0,7,0
2021-06-23,Afghanistan,1,0,0,36,0
2021-06-23,Japan,11,0,0,110,0
2021-06-23,Sweden,2,0,0,7,0
2021-06-24,Afghanistan,1,0,0,36,0
2021-06-24,Japan,11,0,0,110,0
2021-06-24,Sweden,2,0,0,7,0
2021-06-25,Afghanistan,1,0,0,36,0
2021-06-25,Japan,11,0,0,110,0
2021-06-25,Sweden,2,0,0,7,0
2021-06-26,Afghanistan,1,0,0,36,0
2021-06-26,Japan,11,0,0,110,0
2021-06-26,Sweden,2,0,0,7,0
2021-06-27,Afghanistan,1,0,0,36,0
2021-06-27,Japan,11,0,0,110,0
2021-06-27,Sweden,2,0,0,7,0
2021-06-28,Afghanistan,1,0,0,36,0
2021-06-28,Japan,11,0,0,110,0
2021-06-28,Sweden,2,0,0,7,0
2021-06-29,Afghanistan,1,0,0,36,0
2021-06-29,Japan,11,0,0,110,0
2021-06-29,Sweden,2,0,0,7,0
2021-06-30,Afghanistan,1,0,0,36,0
2021-06-30,Japan,11,0,0,110,0
2021-06-30,Sweden,2,0,0,7,0
2021-07-01,Afghanistan,1,0,0,36,0
2021-07-01,Japan,11,0,0,110,0
2021-07-01,Sweden,2,0,0,7,0
2021-07-02,Afghanistan,1,0,0,36,0
2021-07-02,Japan,11,0,0,110,0
2021-07-02,Sweden,2,0,0,7,0
2021-07-03,Afghanistan,1,0,0,36,0
2021-07-03,Japan,11,0,0,110,0
2021-07-03,Sweden,2,0,0,7,0
2021-07-04,Afghanistan,1,0,0,36,0
2021-07-04,Japan,11,0,0,110,0
2021-07-04,Sweden,2,0,0,7,0
2021-07-05,Afghanistan,1,0,0,36,0
2021-07-05,Japan,11,0,0,110,0
2021-07-05,Sweden,2,0,0,7,0
2021-07-06,Afghanistan,1,0,0,36,0
2021-07-06,Japan,11,0,0,110,0
2021-07-06,Sweden,2,0,0,7,0
2021-07-07,Afghanistan,1,0,0,36,0
2021-07-07,Japan,11,0,0,110,0
2021-07-07,Sweden,2,0,0,7,0
2021-07-08,Afghanistan,1,0,0,36,0
2021-07-08,Japan,11,0,0,110,0
2021-07-08,Sweden,2,0,0,7,0
2021-07-09,Afghanistan,1,0,0,36,0
2021-07-09,Japan,11,0,0,110,0
2021-07-09,Sweden,2,0,0,7,0
2021-07-10,Afghanistan,1,0,0,36,0
2021-07-10,Japan,11,0,0,110,0
2021-07-10,Sweden,2,0,0,7,0
2021-07-11,Afghanistan,1,0,0,36,0
2021-07-11,Japan,11,0,0,110,0
2021-07-11,Sweden,2,0,0,7,0
2021-07-12,Afghanistan,1,0,0,36,0
2021-07-12,Japan,11,0,0,110,0
2021-07-12,Sweden,2,0,0,7,0
2021-07-13,Afghanistan,1,0,0,36,0
2021-07-13,Japan,11,0,0,110,0
2021-07-13,Sweden,2,0,0,7,0
2021-07-14,Afghanistan,1,0,0,36,0
2021-07-14,Japan,11,0,0,110,0
2021-07-14,Sweden,2,0,0,7,0
2021-07-15,Afghanistan,1,0,0,36,0
2021-07-15,Japan,11,0,0,110,0
2021-07-15,Sweden,2,0,0,7,0
2021-07-16,Afghanistan,1,0,0,36,0
2021-07-16,Japan,11,0,0,110,0
2021-07-16,Sweden,2,0,0,7,0
2021-07-17,Afghanistan,1,0,0,36,0
2021-07-17,Japan,11,0,0,110,0
2021-07-17,Sweden,2,0,0,7,0
2021-07-18,Afghanistan,1,0,0,36,0
2021-07-18,Japan,11,0,0,110,0
2021-07-18,Sweden,2,0,0,7,0
2021-07-19,Afghanistan,1,0,0,36,0
2021-07-19,Japan,11,0,0,110,0
2021-07-19,Sweden,2,0,0,7,0
2021-07-20,Afghanistan,1,0,0,36,0
2021-07-20,Japan,11,0,0,110,0
2021-07-20,Sweden,2,0,0,7,0
2021-07-21,Afghanistan,1,0,0,36,0
2021-07-21,Japan,11,0,0,110,0
2021-07-21,Sweden,2,0,0,7,0
2021-07-22,Afghanistan,1,0,0,36,0
2021-07-22,Japan,11,0,0,110,0
2021-07-22,Sweden,2,0,0,7,0
2021-07-23,Afghanistan,1,0,0,36,0
2021-07-23,Japan,11,0,0,110,0
2021-07-23,Sweden,2,0,0,7,0
2021-07-24,Afghanistan,1,0,0,36,0
2021-07-24,Japan,11,0,0,110,0
2021-07-24,Sweden,2,0,0,7,0
2021-07-25,Afghanistan,1,0,0,36,0
2021-07-25,Japan,11,0,0,110,0
2021-07-25,Sweden,2,0,0,7,0
2021-07-26,Afghanistan,1,0,0,36,0
2021-07-26,Japan,11,0,0,110,0
2021-07-26,Sweden,2,0,0,7,0
2021-07-27,Afghanistan,1,0,0,36,0
2021-07-27,Japan,11,0,0,110,0
2021-07-27,Sweden,2,0,0,7,0
2021-07-28,Afghanistan,1,0,0,36,0
2021-07-28,Japan,11,0,0,110,0
2021-07-28,Sweden,2,0,0,7,0
2021-07-29,Afghanistan,1,0,0,36,0
2021-07-29,Japan,11,0,0,110,0
2021-07-29,Sweden,2,0,0,7,0
2021-07-30,Afghanistan,1,0,0,36,0
2021-07-30,Japan,11,0,0,110,0
2021-07-30,Sweden,2,0,0,7,0
2021-07-31,Afghanistan,1,0,0,36,0
2021-07-31,Japan,11,0,0,110,0
2021-07-31,Sweden,2,0,0,7,0
2021-08-01,Afghanistan,1,0,0,36,0
2021-08-01,Japan,11,0,0,110,0
2021-08-01,Sweden,2,0,0,7,0
2021-08-02,Afghanistan,1,0,0,36,0
2021-08-02,Japan,11,0,0,110,0
2021-08-02,Sweden,2,0,0,7,0
2021-08-03,Afghanistan,1,0,0,36,0
2021-08-03,Japan,11,0,0,110,0
2021-08-03,Sweden,2,0,0,7,0
2021-08-04,Afghanistan,1,0,0,36,0
2021-08-04,Japan,11,0,0,110,0
2021-08-04,Sweden,2,0,0,7,0
2021-08-05,Afghanistan,1,0,0,36,0
2021-08-05,Japan,11,0,0,110,0
2021-08-05,Sweden,2,0,0,7,0
2021-08-06,Afghanistan,1,5,0,31,0
2021-08-06,Japan,11,14,0,96,0
2021-08-06,Sweden,2,1,0,6,0
2021-08-07,Afghanistan,1,6,2,28,0
2021-08-07,Japan,11,22,4,84,0
2021-08-07,Sweden,2,1,0,6,0
2021-08-08,Afghanistan,1,5,3,28,0
2021-08-08,Japan,11,24,11,75,0
2021-08-08,Sweden,2,1,0,6,0
2021-08-09,Afghanistan,1,4,4,28,0
2021-08-09,Japan,11,20,18,72,0
2021-08-09,Sweden,2,4,0,3,0
2021-08-10,Afghanistan,1,3,6,27,0
2021-08-10,Japan,11,22,22,66,0
2021-08-10,Sweden,2,3,1,3,0
2021-08-11,Afghanistan,1,5,6,25,0
2021-08-11,Japan,11,17,30,63,0
2021-08-11,Sweden,2,3,1,3,0
2021-08-12,Afghanistan,1,7,4,25,0
2021-08-12,Japan,11,12,32,64,2
2021-08-12,Sweden,2,2,2,3,0
2021-08-13,Afghanistan,1,6,4,26,0
2021-08-13,Japan,11,8,30,69,3
2021-08-13,Sweden,2,1,3,3,0
2021-08-14,Afghanistan,1,3,6,27,0
2021-08-14,Japan,11,10,23,71,6
2021-08-14,Sweden,2,1,3,3,0
2021-08-15,Afghanistan,1,2,5,28,1
2021-08-15,Japan,11,7,22,72,9
2021-08-15,Sweden,2,1,2,4,0
2021-08-16,Afghanistan,1,3,5,27,1
2021-08-16,Japan,11,5,16,80,9
2021-08-16,Sweden,2,1,2,4,0
2021-08-17,Afghanistan,1,2,6,27,1
2021-08-17,Japan,11,3,12,81,14
2021-08-17,Sweden,2,0,2,4,1
2021-08-18,Afghanistan,1,2,5,28,1
2021-08-18,Japan,11,6,7,81,16
2021-08-18,Sweden,2,0,1,4,2
2021-08-19,Afghanistan,1,2,2,29,3
2021-08-19,Japan,11,6,7,81,16
2021-08-19,Sweden,2,0,1,4,2
2021-08-20,Afghanistan,1,3,1,29,3
2021-08-20,Japan,11,4,6,83,17
2021-08-20,Sweden,2,0,1,4,2
2021-08-21,Afghanistan,1,8,1,24,3
2021-08-21,Japan,11,17,6,68,19
2021-08-21,Sweden,2,1,1,3,2
2021-08-22,Afghanistan,1,7,2,23,4
2021-08-22,Japan,11,25,11,55,19
2021-08-22,Sweden,2,0,1,4,2
2021-08-23,Afghanistan,1,8,3,21,4
2021-08-23,Japan,11,21,22,48,19
2021-08-23,Sweden,2,0,1,4,2
2021-08-24,Afghanistan,1,10,6,16,4
2021-08-24,Japan,11,17,32,42,19
2021-08-24,Sweden,2,1,1,3,2
2021-08-25,Afghanistan,1,11,7,14,4
2021-08-25,Japan,11,18,35,37,20
2021-08-25,Sweden,2,0,2,3,2
2021-08-26,Afghanistan,1,8,11,13,4
2021-08-26,Japan,11,14,39,37,20
2021-08-26,Sweden,2,0,2,3,2
2021-08-27,Afghanistan,1,9,9,12,6
2021-08-27,Japan,12,11,36,42,20
2021-08-27,Sweden,2,0,1,3,3
2021-08-28,Afghanistan,1,7,10,12,7
2021-08-28,Japan,13,9,27,45,27
2021-08-28,Sweden,2,0,1,3,3
2021-08-29,Afghanistan,1,5,10,14,7
2021-08-29,Japan,13,5,21,53,29
2021-08-29,Sweden,2,0,1,3,3
2021-08-30,Afghanistan,1,6,9,15,6
2021-08-30,Japan,13,6,17,56,29
2021-08-30,Sweden,2,0,0,4,3
2021-08-31,Afghanistan,1,6,6,15,9
2021-08-31,Japan,13,5,12,61,30
2021-08-31,Sweden,2,0,0,4,3
2021-09-01,Afghanistan,1,6,6,15,9
2021-09-01,Japan,14,3,10,68,26
2021-09-01,Sweden,2,0,0,5,2
2021-09-02,Afghanistan,1,5,5,15,11
2021-09-02,Japan,15,3,8,71,24
2021-09-02,Sweden,2,0,0,6,1
2021-09-03,Afghanistan,1,4,3,20,9
2021-09-03,Japan,15,2,5,73,26
2021-09-03,Sweden,2,0,0,6,1
2021-09-04,Afghanistan,1,3,4,20,9
2021-09-04,Japan,16,3,4,73,25
2021-09-04,Sweden,2,0,0,6,1
2021-09-05,Afghanistan,1,3,3,20,10
2021-09-05,Japan,16,2,4,76,23
2021-09-05,Sweden,2,0,0,6,1
2021-09-06,Afghanistan,1,3,3,21,9
2021-09-06,Japan,16,2,2,77,24
2021-09-06,Sweden,2,0,0,6,1
2021-09-07,Afghanistan,1,2,3,22,9
2021-09-07,Japan,16,0,4,77,24
2021-09-07,Sweden,2,1,0,5,1
2021-09-08,Afghanistan,1,2,2,23,9
2021-09-08,Japan,16,0,3,78,24
2021-09-08,Sweden,2,1,0,5,1
2021-09-09,Afghanistan,1,3,1,22,10
2021-09-09,Japan,16,1,3,78,23
2021-09-09,Sweden,2,1,0,5,1
2021-09-10,Afghanistan,1,3,1,22,10
2021-09-10,Japan,16,1,2,78,24
2021-09-10,Sweden,2,1,0,5,1
2021-09-11,Afghanistan,1,2,2,24,8
2021-09-11,Japan,16,1,2,80,22
2021-09-11,Sweden,2,1,0,6,0
2021-09-12,Afghanistan,1,2,1,25,8
2021-09-12,Japan,17,1,0,87,16
2021-09-12,Sweden,2,1,0,6,0
2021-09-13,Afghanistan,1,2,1,25,8
2021-09-13,Japan,19,1,0,90,11
2021-09-13,Sweden,2,1,0,6,0
2021-09-14,Afghanistan,1,0,3,25,8
2021-09-14,Japan,19,1,0,93,8
2021-09-14,Sweden,2,1,0,6,0
2021-09-15,Afghanistan,1,0,3,28,5
2021-09-15,Japan,19,1,0,94,7
2021-09-15,Sweden,2,1,0,6,0
2021-09-16,Afghanistan,1,0,2,28,6
2021-09-16,Japan,19,0,1,95,6
2021-09-16,Sweden,2,1,0,6,0
2021-09-17,Afghanistan,1,0,2,30,4
2021-09-17,Japan,19,0,1,95,6
2021-09-17,Sweden,2,1,0,6,0
2021-09-18,Afghanistan,1,0,2,30,4
2021-09-18,Japan,20,0,1,96,4
2021-09-18,Sweden,2,1,0,6,0
2021-09-19,Afghanistan,1,0,0,31,5
2021-09-19,Japan,20,0,1,96,4
2021-09-19,Sweden,2,1,0,6,0
2021-09-20,Afghanistan,1,0,0,32,4
2021-09-20,Japan,20,0,1,96,4
2021-09-20,Sweden,2,0,1,6,0
2021-09-21,Afghanistan,1,0,0,32,4
2021-09-21,Japan,20,0,0,97,4
2021-09-21,Sweden,2,0,1,6,0
2021-09-22,Afghanistan,1,0,0,32,4
2021-09-22,Japan,20,0,0,97,4
2021-09-22,Sweden,2,0,1,6,0
2021-09-23,Afghanistan,1,0,0,32,4
2021-09-23,Japan,20,0,0,97,4
2021-09-23,Sweden,2,0,1,6,0
2021-09-24,Afghanistan,1,0,0,33,3
2021-09-24,Japan,20,0,0,97,4
2021-09-24,Sweden,2,0,1,6,0
2021-09-25,Afghanistan,1,0,0,33,3
2021-09-25,Japan,20,0,0,98,3
2021-09-25,Sweden,2,0,0,6,1
2021-09-26,Afghanistan,1,0,0,33,3
2021-09-26,Japan,20,0,0,98,3
2021-09-26,Sweden,2,0,0,6,1
2021-09-27,Afghanistan,1,0,0,34,2
2021-09-27,Japan,20,0,0,100,1
2021-09-27,Sweden,2,0,0,6,1
2021-09-28,Afghanistan,1,0,0,34,2
2021-09-28,Japan,20,0,0,100,1
2021-09-28,Sweden,2,0,0,6,1
2021-09-29,Afghanistan,1,0,0,34,2
2021-09-29,Japan,20,0,0,100,1
2021-09-29,Sweden,2,0,0,6,1
2021-09-30,Afghanistan,1,0,0,34,2
2021-09-30,Japan,20,0,0,100,1
2021-09-30,Sweden,2,0,0,6,1
2021-10-01,Afghanistan,1,0,0,35,1
2021-10-01,Japan,20,0,0,100,1
2021-10-01,Sweden,2,0,0,6,1
2021-10-02,Afghanistan,1,0,0,35,1
2021-10-02,Japan,20,0,0,100,1
2021-10-02,Sweden,2,0,0,6,1
2021-10-03,Afghanistan,1,0,0,35,1
2021-10-03,Japan,20,0,0,100,1
2021-10-03,Sweden,2,0,0,6,1
2021-10-04,Afghanistan,1,0,0,36,0
2021-10-04,Japan,20,0,0,100,1
2021-10-04,Sweden,2,0,0,6,1
2021-10-05,Afghanistan,1,0,0,36,0
2021-10-05,Japan,20,0,0,100,1
2021-10-05,Sweden,2,0,0,6,1
2021-10-06,Afghanistan,1,0,0,36,0
2021-10-06,Japan,20,0,0,101,0
2021-10-06,Sweden,2,0,0,6,1
2021-10-07,Afghanistan,1,0,0,36,0
2021-10-07,Japan,20,0,0,101,0
2021-10-07,Sweden,2,0,0,6,1
2021-10-08,Afghanistan,1,0,0,36,0
2021-10-08,Japan,20,0,0,101,0
2021-10-08,Sweden,2,0,0,6,1
2021-10-09,Afghanistan,1,0,0,36,0
2021-10-09,Japan,20,0,0,101,0
2021-10-09,Sweden,2,0,0,6,1
2021-10-10,Afghanistan,1,0,0,36,0
2021-10-10,Japan,20,0,0,101,0
2021-10-10,Sweden,2,0,0,7,0
2021-10-11,Afghanistan,1,0,0,36,0
2021-10-11,Japan,20,0,0,101,0
2021-10-11,Sweden,2,0,0,7,0
2021-10-12,Afghanistan,1,0,0,36,0
2021-10-12,Japan,20,0,0,101,0
2021-10-12,Sweden,2,0,0,7,0
2021-10-13,Afghanistan,1,0,0,36,0
2021-10-13,Japan,20,0,0,101,0
2021-10-13,Sweden,2,0,0,7,0
2021-10-14,Afghanistan,1,0,0,36,0
2021-10-14,Japan,20,0,0,101,0
