date,country,D,H,I,M,S
2021-10-14,Sweden,2,0,0,7,0
2021-10-15,Afghanistan,1,0,0,36,0
2021-10-15,Japan,20,0,0,101,0
2021-10-15,Sweden,2,0,0,7,0
2021-10-16,Afghanistan,1,0,0,36,0
2021-10-16,Japan,20,0,0,101,0
2021-10-16,Sweden,2,0,0,7,0
2021-10-17,Afghanistan,1,0,0,36,0
2021-10-17,Japan,20,0,0,101,0
2021-10-17,Sweden,2,0,0,7,0
2021-10-18,Afghanistan,1,0,0,36,0
2021-10-18,Japan,20,0,0,101,0
2021-10-18,Sweden,2,0,0,7,0
2021-10-19,Afghanistan,1,0,0,36,0
2021-10-19,Japan,20,0,0,101,0
2021-10-19,Sweden,2,0,0,7,0
2021-10-20,Afghanistan,1,0,0,36,0
2021-10-20,Japan,20,0,0,101,0
2021-10-20,Sweden,2,0,0,7,0
2021-10-21,Afghanistan,1,0,0,36,0
2021-10-21,Japan,20,0,0,101,0
2021-10-21,Sweden,2,0,0,7,0
2021-10-22,Afghanistan,1,0,0,36,0
2021-10-22,Japan,20,0,0,101,0
2021-10-22,Sweden,2,0,0,7,0
2021-10-23,Afghanistan,1,0,0,36,0
2021-10-23,Japan,20,0,0,101,0
2021-10-23,Sweden,2,0,0,7,0
2021-10-24,Afghanistan,1,0,0,36,0
2021-10-24,Japan,20,0,0,101,0
2021-10-24,Sweden,2,0,0,7,0
2021-10-25,Afghanistan,1,0,0,36,0
2021-10-25,Japan,20,0,0,101,0
2021-10-25,Sweden,2,0,0,7,0
2021-10-26,Afghanistan,1,0,0,36,0
2021-10-26,Japan,20,0,0,101,0
2021-10-26,Sweden,2,0,0,7,0
2021-10-27,Afghanistan,1,0,0,36,0
2021-10-27,Japan,20,0,0,101,0
2021-10-27,Sweden,2,0,0,7,0
2021-10-28,Afghanistan,1,0,0,36,0
2021-10-28,Japan,20,0,0,101,0
2021-10-28,Sweden,2,0,0,7,0
2021-10-29,Afghanistan,1,0,0,36,0
2021-10-29,Japan,20,0,0,101,0
2021-10-29,Sweden,2,0,0,7,0
2021-10-30,Afghanistan,1,0,0,36,0
2021-10-30,Japan,20,0,0,101,0
2021-10-30,Sweden,2,0,0,7,0
2021-10-31,Afghanistan,1,0,0,36,0
2021-10-31,Japan,20,0,0,101,0
2021-10-31,Sweden,2,0,0,7,0
2021-11-01,Afghanistan,1,0,0,36,0
2021-11-01,Japan,20,0,0,101,0
2021-11-01,Sweden,2,0,0,7,0
2021-11-02,Afghanistan,1,0,0,36,0
2021-11-02,Japan,20,0,0,101,0
2021-11-02,Sweden,2,0,0,7,0
2021-11-03,Afghanistan,1,0,0,36,0
2021-11-03,Japan,20,0,0,101,0
2021-11-03,Sweden,2,0,0,7,0
2021-11-04,Afghanistan,1,0,0,36,0
2021-11-04,Japan,20,0,0,101,0
2021-11-04,Sweden,2,0,0,7,0
2021-11-05,Afghanistan,1,0,0,36,0
2021-11-05,Japan,20,0,0,101,0
2021-11-05,Sweden,2,0,0,7,0
2021-11-06,Afghanistan,1,0,0,36,0
2021-11-06,Japan,20,0,0,101,0
2021-11-06,Sweden,2,0,0,7,0
2021-11-07,Afghanistan,1,0,0,36,0
2021-11-07,Japan,20,0,0,101,0
2021-11-07,Sweden,2,0,0,7,0
2021-11-08,Afghanistan,1,0,0,36,0
2021-11-08,Japan,20,0,0,101,0
2021-11-08,Sweden,2,0,0,7,0
2021-11-09,Afghanistan,1,0,0,36,0
2021-11-09,Japan,20,0,0,101,0
2021-11-09,Sweden,2,0,0,7,0
2021-11-10,Afghanistan,1,0,0,36,0
2021-11-10,Japan,20,0,0,101,0
2021-11-10,Sweden,2,0,0,7,0
2021-11-11,Afghanistan,1,0,0,36,0
2021-11-11,Japan,20,0,0,101,0
2021-11-11,Sweden,2,0,0,7,0
2021-11-12,Afghanistan,1,0,0,36,0
2021-11-12,Japan,20,0,0,101,0
2021-11-12,Sweden,2,0,0,7,0
2021-11-13,Afghanistan,1,0,0,36,0
2021-11-13,Japan,20,0,0,101,0
2021-11-13,Sweden,2,0,0,7,0
2021-11-14,Afghanistan,1,0,0,36,0
2021-11-14,Japan,20,0,0,101,0
2021-11-14,Sweden,2,0,0,7,0
2021-11-15,Afghanistan,1,0,0,36,0
2021-11-15,Japan,20,0,0,101,0
2021-11-15,Sweden,2,0,0,7,0
2021-11-16,Afghanistan,1,0,0,36,0
2021-11-16,Japan,20,0,0,101,0
2021-11-16,Sweden,2,0,0,7,0
2021-11-17,Afghanistan,1,0,0,36,0
2021-11-17,Japan,20,0,0,101,0
2021-11-17,Sweden,2,0,0,7,0
2021-11-18,Afghanistan,1,0,0,36,0
2021-11-18,Japan,20,0,0,101,0
2021-11-18,Sweden,2,0,0,7,0
2021-11-19,Afghanistan,1,0,0,36,0
2021-11-19,Japan,20,0,0,101,0
2021-11-19,Sweden,2,0,0,7,0
2021-11-20,Afghanistan,1,0,0,36,0
2021-11-20,Japan,20,0,0,101,0
2021-11-20,Sweden,2,0,0,7,0
2021-11-21,Afghanistan,1,0,0,36,0
2021-11-21,Japan,20,0,0,101,0
2021-11-21,Sweden,2,0,0,7,0
2021-11-22,Afghanistan,1,0,0,36,0
2021-11-22,Japan,20,0,0,101,0
2021-11-22,Sweden,2,0,0,7,0
2021-11-23,Afghanistan,1,0,0,36,0
2021-11-23,Japan,20,0,0,101,0
2021-11-23,Sweden,2,0,0,7,0
2021-11-24,Afghanistan,1,0,0,36,0
2021-11-24,Japan,20,0,0,101,0
2021-11-24,Sweden,2,0,0,7,0
2021-11-25,Afghanistan,1,0,0,36,0
2021-11-25,Japan,20,0,0,101,0
2021-11-25,Sweden,2,0,0,7,0
2021-11-26,Afghanistan,1,0,0,36,0
2021-11-26,Japan,20,0,0,101,0
2021-11-26,Sweden,2,0,0,7,0
2021-11-27,Afghanistan,1,0,0,36,0
2021-11-27,Japan,20,0,0,101,0
2021-11-27,Sweden,2,0,0,7,0
2021-11-28,Afghanistan,1,0,0,36,0
2021-11-28,Japan,20,0,0,101,0
2021-11-28,Sweden,2,0,0,7,0
2021-11-29,Afghanistan,1,0,0,36,0
2021-11-29,Japan,20,0,0,101,0
2021-11-29,Sweden,2,0,0,7,0
2021-11-30,Afghanistan,1,0,0,36,0
2021-11-30,Japan,20,0,0,101,0
2021-11-30,Sweden,2,0,0,7,0
2021-12-01,Afghanistan,1,0,0,36,0
2021-12-01,Japan,20,0,0,101,0
2021-12-01,Sweden,2,0,0,7,0
2021-12-02,Afghanistan,1,0,0,36,0
2021-12-02,Japan,20,0,0,101,0
2021-12-02,Sweden,2,0,0,7,0
2021-12-03,Afghanistan,1,0,0,36,0
2021-12-03,Japan,20,0,0,101,0
2021-12-03,Sweden,2,0,0,7,0
2021-12-04,Afghanistan,1,0,0,36,0
2021-12-04,Japan,20,0,0,101,0
2021-12-04,Sweden,2,0,0,7,0
2021-12-05,Afghanistan,1,0,0,36,0
2021-12-05,Japan,20,0,0,101,0
2021-12-05,Sweden,2,0,0,7,0
2021-12-06,Afghanistan,1,0,0,36,0
2021-12-06,Japan,20,0,0,101,0
2021-12-06,Sweden,2,0,0,7,0
2021-12-07,Afghanistan,1,0,0,36,0
2021-12-07,Japan,20,0,0,101,0
2021-12-07,Sweden,2,0,0,7,0
2021-12-08,Afghanistan,1,0,0,36,0
2021-12-08,Japan,20,0,0,101,0
2021-12-08,Sweden,2,0,0,7,0
2021-12-09,Afghanistan,1,0,0,36,0
2021-12-09,Japan,20,0,0,101,0
2021-12-09,Sweden,2,0,0,7,0
2021-12-10,Afghanistan,1,0,0,36,0
2021-12-10,Japan,20,0,0,101,0
2021-12-10,Sweden,2,0,0,7,0
2021-12-11,Afghanistan,1,2,0,34,0
2021-12-11,Japan,20,2,0,99,0
2021-12-11,Sweden,2,0,0,7,0
2021-12-12,Afghanistan,1,3,0,33,0
2021-12-12,Japan,20,6,2,93,0
2021-12-12,Sweden,2,0,0,7,0
2021-12-13,Afghanistan,1,3,1,32,0
2021-12-13,Japan,20,8,4,89,0
2021-12-13,Sweden,2,0,0,7,0
2021-12-14,Afghanistan,1,4,1,31,0
2021-12-14,Japan,20,3,10,88,0
2021-12-14,Sweden,2,1,0,6,0
2021-12-15,Afghanistan,1,4,1,31,0
2021-12-15,Japan,20,9,12,80,0
2021-12-15,Sweden,2,1,0,6,0
2021-12-16,Afghanistan,1,2,3,31,0
2021-12-16,Japan,20,8,14,79,0
2021-12-16,Sweden,2,1,0,6,0
2021-12-17,Afghanistan,1,1,5,30,0
2021-12-17,Japan,20,11,12,77,1
2021-12-17,Sweden,2,1,0,6,0
2021-12-18,Afghanistan,1,2,4,30,0
2021-12-18,Japan,20,10,11,79,1
2021-12-18,Sweden,2,1,0,6,0
2021-12-19,Afghanistan,1,3,4,29,0
2021-12-19,Japan,20,11,6,81,3
2021-12-19,Sweden,2,1,0,6,0
2021-12-20,Afghanistan,1,3,4,29,0
2021-12-20,Japan,20,10,5,81,5
2021-12-20,Sweden,2,1,0,6,0
2021-12-21,Afghanistan,1,3,2,30,1
2021-12-21,Japan,20,9,6,81,5
2021-12-21,Sweden,2,2,0,5,0
2021-12-22,Afghanistan,1,3,0,31,2
2021-12-22,Japan,20,9,6,81,5
2021-12-22,Sweden,2,2,0,5,0
2021-12-23,Afghanistan,1,1,2,31,2
2021-12-23,Japan,20,5,9,81,6
2021-12-23,Sweden,2,1,1,5,0
2021-12-24,Afghanistan,1,1,2,31,2
2021-12-24,Japan,20,4,10,81,6
2021-12-24,Sweden,2,1,1,5,0
2021-12-25,Afghanistan,1,0,3,31,2
2021-12-25,Japan,20,6,9,80,6
2021-12-25,Sweden,2,1,1,5,0
2021-12-26,Afghanistan,1,0,3,31,2
2021-12-26,Japan,20,9,9,77,6
2021-12-26,Sweden,2,1,1,5,0
2021-12-27,Afghanistan,1,0,3,31,2
2021-12-27,Japan,20,10,11,74,6
2021-12-27,Sweden,2,1,1,5,0
2021-12-28,Afghanistan,1,3,1,30,2
2021-12-28,Japan,20,17,8,69,7
2021-12-28,Sweden,2,1,0,6,0
2021-12-29,Afghanistan,1,5,1,28,2
2021-12-29,Japan,20,16,12,65,8
2021-12-29,Sweden,2,2,0,5,0
2021-12-30,Afghanistan,1,4,2,28,2
2021-12-30,Japan,20,18,15,60,8
2021-12-30,Sweden,2,2,0,5,0
2021-12-31,Afghanistan,1,3,3,28,2
2021-12-31,Japan,20,16,21,55,9
2021-12-31,Sweden,2,3,0,4,0
2022-01-01,Afghanistan,1,2,4,28,2
2022-01-01,Japan,20,12,26,54,9
2022-01-01,Sweden,2,2,2,3,0
2022-01-02,Afghanistan,1,7,4,23,2
2022-01-02,Japan,20,12,27,52,10
2022-01-02,Sweden,2,1,3,3,0
2022-01-03,Afghanistan,1,5,6,23,2
2022-01-03,Japan,20,12,22,56,11
2022-01-03,Sweden,2,1,3,3,0
2022-01-04,Afghanistan,1,3,6,25,2
2022-01-04,Japan,20,14,20,58,9
2022-01-04,Sweden,2,0,4,3,0
2022-01-05,Afghanistan,1,2,7,26,1
2022-01-05,Japan,20,10,16,61,14
2022-01-05,Sweden,2,0,4,3,0
2022-01-06,Afghanistan,1,3,6,26,1
2022-01-06,Japan,20,7,12,62,20
2022-01-06,Sweden,2,0,2,4,1
2022-01-07,Afghanistan,1,4,6,25,1
2022-01-07,Japan,20,8,10,63,20
2022-01-07,Sweden,2,0,1,5,1
2022-01-08,Afghanistan,1,4,4,27,1
2022-01-08,Japan,20,9,9,63,20
2022-01-08,Sweden,2,0,1,5,1
2022-01-09,Afghanistan,1,4,2,28,2
2022-01-09,Japan,20,8,9,64,20
2022-01-09,Sweden,2,0,0,6,1
2022-01-10,Afghanistan,1,5,1,28,2
2022-01-10,Japan,20,9,5,65,22
2022-01-10,Sweden,2,1,0,5,1
2022-01-11,Afghanistan,1,4,3,27,2
2022-01-11,Japan,20,16,2,59,24
2022-01-11,Sweden,2,1,0,5,1
2022-01-12,Afghanistan,1,2,5,27,2
2022-01-12,Japan,21,16,5,56,23
2022-01-12,Sweden,2,1,0,5,1
2022-01-13,Afghanistan,1,2,5,27,2
2022-01-13,Japan,22,17,7,53,22
2022-01-13,Sweden,2,1,0,5,1
2022-01-14,Afghanistan,1,5,5,24,2
2022-01-14,Japan,22,12,12,52,23
2022-01-14,Sweden,2,1,0,5,1
2022-01-15,Afghanistan,1,5,4,24,3
2022-01-15,Japan,23,11,13,51,23
2022-01-15,Sweden,2,1,0,5,1
2022-01-16,Afghanistan,1,7,2,23,4
2022-01-16,Japan,23,8,16,52,22
2022-01-16,Sweden,2,1,0,5,1
2022-01-17,Afghanistan,1,6,1,25,4
2022-01-17,Japan,23,8,14,53,23
2022-01-17,Sweden,2,0,1,5,1
2022-01-18,Afghanistan,1,3,5,24,4
2022-01-18,Japan,24,6,14,57,20
2022-01-18,Sweden,2,0,1,5,1
2022-01-19,Afghanistan,1,3,6,23,4
2022-01-19,Japan,24,4,10,59,24
2022-01-19,Sweden,2,0,1,5,1
2022-01-20,Afghanistan,1,2,7,23,4
2022-01-20,Japan,25,5,8,63,20
2022-01-20,Sweden,2,0,1,5,1
2022-01-21,Afghanistan,1,1,8,24,3
2022-01-21,Japan,27,4,6,70,14
2022-01-21,Sweden,2,0,1,6,0
2022-01-22,Afghanistan,1,1,7,25,3
2022-01-22,Japan,27,2,7,72,13
2022-01-22,Sweden,2,0,0,7,0
2022-01-23,Afghanistan,1,2,3,27,4
2022-01-23,Japan,27,0,7,73,14
2022-01-23,Sweden,2,0,0,7,0
2022-01-24,Afghanistan,1,1,3,28,4
2022-01-24,Japan,27,1,5,72,16
2022-01-24,Sweden,2,0,0,7,0
2022-01-25,Afghanistan,1,1,2,28,5
2022-01-25,Japan,27,1,5,74,14
2022-01-25,Sweden,2,0,0,7,0
2022-01-26,Afghanistan,1,1,2,28,5
2022-01-26,Japan,27,2,5,75,12
2022-01-26,Sweden,2,0,0,7,0
2022-01-27,Afghanistan,1,1,2,28,5
2022-01-27,Japan,27,1,4,75,14
2022-01-27,Sweden,2,0,0,7,0
2022-01-28,Afghanistan,1,1,2,28,5
2022-01-28,Japan,27,1,2,75,16
2022-01-28,Sweden,2,0,0,7,0
2022-01-29,Afghanistan,1,1,1,29,5
2022-01-29,Japan,27,1,2,76,15
2022-01-29,Sweden,2,0,0,7,0
2022-01-30,Afghanistan,1,2,1,29,4
2022-01-30,Japan,27,0,3,77,14
2022-01-30,Sweden,2,0,0,7,0
2022-01-31,Afghanistan,1,2,0,30,4
2022-01-31,Japan,27,0,2,78,14
2022-01-31,Sweden,2,0,0,7,0
2022-02-01,Afghanistan,1,2,0,30,4
2022-02-01,Japan,27,0,1,80,13
2022-02-01,Sweden,2,0,0,7,0
2022-02-02,Afghanistan,1,3,0,29,4
2022-02-02,Japan,27,0,1,80,13
2022-02-02,Sweden,2,0,0,7,0
2022-02-03,Afghanistan,1,1,2,29,4
2022-02-03,Japan,28,0,1,83,9
2022-02-03,Sweden,2,0,0,7,0
2022-02-04,Afghanistan,1,1,2,29,4
2022-02-04,Japan,29,1,0,82,9
2022-02-04,Sweden,2,0,0,7,0
2022-02-05,Afghanistan,1,1,2,29,4
2022-02-05,Japan,29,0,1,82,9
2022-02-05,Sweden,2,0,0,7,0
2022-02-06,Afghanistan,1,1,2,29,4
2022-02-06,Japan,29,0,1,82,9
2022-02-06,Sweden,2,0,0,7,0
2022-02-07,Afghanistan,1,1,2,30,3
2022-02-07,Japan,29,0,1,83,8
2022-02-07,Sweden,2,0,0,7,0
2022-02-08,Afghanistan,1,1,0,32,3
2022-02-08,Japan,29,0,1,85,6
2022-02-08,Sweden,2,1,0,6,0
2022-02-09,Afghanistan,2,1,0,32,2
2022-02-09,Japan,29,0,1,85,6
2022-02-09,Sweden,2,1,0,6,0
2022-02-10,Afghanistan,2,1,0,32,2
2022-02-10,Japan,29,0,0,86,6
2022-02-10,Sweden,2,1,0,6,0
2022-02-11,Afghanistan,2,1,0,32,2
2022-02-11,Japan,29,0,0,88,4
2022-02-11,Sweden,2,1,0,6,0
2022-02-12,Afghanistan,2,1,0,32,2
2022-02-12,Japan,29,0,0,90,2
2022-02-12,Sweden,2,1,0,6,0
2022-02-13,Afghanistan,2,1,0,32,2
2022-02-13,Japan,29,0,0,90,2
2022-02-13,Sweden,2,1,0,6,0
2022-02-14,Afghanistan,2,1,0,32,2
2022-02-14,Japan,29,0,0,90,2
2022-02-14,Sweden,2,1,0,6,0
2022-02-15,Afghanistan,2,1,0,33,1
2022-02-15,Japan,29,0,0,90,2
2022-02-15,Sweden,2,1,0,6,0
2022-02-16,Afghanistan,2,0,1,33,1
2022-02-16,Japan,29,0,0,91,1
2022-02-16,Sweden,2,1,0,6,0
2022-02-17,Afghanistan,2,0,1,33,1
2022-02-17,Japan,29,0,0,91,1
2022-02-17,Sweden,2,1,0,6,0
2022-02-18,Afghanistan,2,0,1,33,1
2022-02-18,Japan,29,0,0,91,1
2022-02-18,Sweden,2,1,0,6,0
2022-02-19,Afghanistan,2,0,1,33,1
2022-02-19,Japan,29,0,0,92,0
2022-02-19,Sweden,2,1,0,6,0
2022-02-20,Afghanistan,2,0,1,33,1
2022-02-20,Japan,29,0,0,92,0
2022-02-20,Sweden,2,1,0,6,0
2022-02-21,Afghanistan,2,0,0,34,1
2022-02-21,Japan,29,0,0,92,0
2022-02-21,Sweden,2,1,0,6,0
2022-02-22,Afghanistan,2,0,0,34,1
2022-02-22,Japan,29,0,0,92,0
2022-02-22,Sweden,2,1,0,6,0
2022-02-23,Afghanistan,2,0,0,35,0
2022-02-23,Japan,29,0,0,92,0
2022-02-23,Sweden,2,1,0,6,0
2022-02-24,Afghanistan,2,0,0,35,0
2022-02-24,Japan,29,0,0,92,0
2022-02-24,Sweden,2,0,1,6,0
2022-02-25,Afghanistan,2,0,0,35,0
2022-02-25,Japan,29,0,0,92,0
2022-02-25,Sweden,2,0,1,6,0
2022-02-26,Afghanistan,2,0,0,35,0
2022-02-26,Japan,29,0,0,92,0
2022-02-26,Sweden,2,0,1,6,0
2022-02-27,Afghanistan,2,0,0,35,0
2022-02-27,Japan,29,0,0,92,0
2022-02-27,Sweden,2,0,1,6,0
2022-02-28,Afghanistan,2,0,0,35,0
2022-02-28,Japan,29,0,0,92,0
2022-02-28,Sweden,2,0,1,6,0
2022-03-01,Afghanistan,2,0,0,35,0
2022-03-01,Japan,29,0,0,92,0
2022-03-01,Sweden,2,0,0,6,1
2022-03-02,Afghanistan,2,0,0,35,0
2022-03-02,Japan,29,0,0,92,0
2022-03-02,Sweden,2,0,0,6,1
2022-03-03,Afghanistan,2,0,0,35,0
2022-03-03,Japan,29,0,0,92,0
2022-03-03,Sweden,2,0,0,6,1
2022-03-04,Afghanistan,2,0,0,35,0
2022-03-04,Japan,29,0,0,92,0
2022-03-04,Sweden,2,0,0,6,1
2022-03-05,Afghanistan,2,0,0,35,0
2022-03-05,Japan,29,0,0,92,0
2022-03-05,Sweden,2,0,0,6,1
2022-03-06,Afghanistan,2,0,0,35,0
2022-03-06,Japan,29,0,0,92,0
2022-03-06,Sweden,2,0,0,6,1
2022-03-07,Afghanistan,2,0,0,35,0
2022-03-07,Japan,29,0,0,92,0
2022-03-07,Sweden,2,0,0,6,1
2022-03-08,Afghanistan,2,0,0,35,0
2022-03-08,Japan,29,0,0,92,0
2022-03-08,Sweden,2,0,0,6,1
2022-03-09,Afghanistan,2,0,0,35,0
2022-03-09,Japan,29,0,0,92,0
2022-03-09,Sweden,2,0,0,6,1
2022-03-10,Afghanistan,2,0,0,35,0
2022-03-10,Japan,29,0,0,92,0
2022-03-10,Sweden,2,0,0,6,1
2022-03-11,Afghanistan,2,0,0,35,0
2022-03-11,Japan,29,0,0,92,0
2022-03-11,Sweden,2,0,0,6,1
2022-03-12,Afghanistan,2,0,0,35,0
2022-03-12,Japan,29,0,0,92,0
2022-03-12,Sweden,2,0,0,6,1
2022-03-13,Afghanistan,2,0,0,35,0
2022-03-13,Japan,29,0,0,92,0
2022-03-13,Sweden,2,0,0,6,1
2022-03-14,Afghanistan,2,0,0,35,0
2022-03-14,Japan,29,0,0,92,0
2022-03-14,Sweden,2,0,0,6,1
2022-03-15,Afghanistan,2,0,0,35,0
2022-03-15,Japan,29,0,0,92,0
2022-03-15,Sweden,2,0,0,6,1
2022-03-16,Afghanistan,2,0,0,35,0
2022-03-16,Japan,29,0,0,92,0
2022-03-16,Sweden,2,0,0,7,0
2022-03-17,Afghanistan,2,0,0,35,0
2022-03-17,Japan,29,0,0,92,0
2022-03-17,Sweden,2,0,0,7,0
2022-03-18,Afghanistan,2,0,0,35,0
2022-03-18,Japan,29,0,0,92,0
2022-03-18,Sweden,2,0,0,7,0
2022-03-19,Afghanistan,2,0,0,35,0
2022-03-19,Japan,29,0,0,92,0
2022-03-19,Sweden,2,0,0,7,0
2022-03-20,Afghanistan,2,0,0,35,0
2022-03-20,Japan,29,0,0,92,0
2022-03-20,Sweden,2,0,0,7,0
2022-03-21,Afghanistan,2,0,0,35,0
2022-03-21,Japan,29,0,0,92,0
2022-03-21,Sweden,2,0,0,7,0
2022-03-22,Afghanistan,2,0,0,35,0
2022-03-22,Japan,29,0,0,92,0
2022-03-22,Sweden,2,0,0,7,0
2022-03-23,Afghanistan,2,0,0,35,0
2022-03-23,Japan,29,0,0,92,0
2022-03-23,Sweden,2,0,0,7,0
2022-03-24,Afghanistan,2,0,0,35,0
2022-03-24,Japan,29,0,0,92,0
2022-03-24,Sweden,2,0,0,7,0
2022-03-25,Afghanistan,2,0,0,35,0
2022-03-25,Japan,29,0,0,92,0
2022-03-25,Sweden,2,0,0,7,0
2022-03-26,Afghanistan,2,0,0,35,0
2022-03-26,Japan,29,0,0,92,0
2022-03-26,Sweden,2,0,0,7,0
2022-03-27,Afghanistan,2,0,0,35,0
2022-03-27,Japan,29,0,0,92,0
2022-03-27,Sweden,2,0,0,7,0
2022-03-28,Afghanistan,2,0,0,35,0
2022-03-28,Japan,29,0,0,92,0
2022-03-28,Sweden,2,0,0,7,0
2022-03-29,Afghanistan,2,0,0,35,0
2022-03-29,Japan,29,0,0,92,0
2022-03-29,Sweden,2,0,0,7,0
2022-03-30,Afghanistan,2,0,0,35,0
2022-03-30,Japan,29,0,0,92,0
2022-03-30,Sweden,2,0,0,7,0
2022-03-31,Afghanistan,2,0,0,35,0
2022-03-31,Japan,29,0,0,92,0
2022-03-31,Sweden,2,0,0,7,0
2022-04-01,Afghanistan,2,0,0,35,0
2022-04-01,Japan,29,0,0,92,0
2022-04-01,Sweden,2,0,0,7,0
2022-04-02,Afghanistan,2,0,0,35,0
2022-04-02,Japan,29,0,0,92,0
2022-04-02,Sweden,2,0,0,7,0
2022-04-03,Afghanistan,2,0,0,35,0
2022-04-03,Japan,29,0,0,92,0
2022-04-03,Sweden,2,0,0,7,0
2022-04-04,Afghanistan,2,0,0,35,0
2022-04-04,Japan,29,0,0,92,0
2022-04-04,Sweden,2,0,0,7,0
2022-04-05,Afghanistan,2,0,0,35,0
2022-04-05,Japan,29,0,0,92,0
2022-04-05,Sweden,2,0,0,7,0
2022-04-06,Afghanistan,2,0,0,35,0
2022-04-06,Japan,29,0,0,92,0
2022-04-06,Sweden,2,0,0,7,0
2022-04-07,Afghanistan,2,0,0,35,0
2022-04-07,Japan,29,0,0,92,0
2022-04-07,Sweden,2,0,0,7,0
2022-04-08,Afghanistan,2,0,0,35,0
2022-04-08,Japan,29,0,0,92,0
2022-04-08,Sweden,2,0,0,7,0
2022-04-09,Afghanistan,2,0,0,35,0
2022-04-09,Japan,29,0,0,92,0
2022-04-09,Sweden,2,0,0,7,0
2022-04-10,Afghanistan,2,0,0,35,0
2022-04-10,Japan,29,0,0,92,0
2022-04-10,Sweden,2,0,0,7,0
2022-04-11,Afghanistan,2,0,0,35,0
2022-04-11,Japan,29,0,0,92,0
2022-04-11,Sweden,2,0,0,7,0
2022-04-12,Afghanistan,2,0,0,35,0
2022-04-12,Japan,29,0,0,92,0
2022-04-12,Sweden,2,0,0,7,0
2022-04-13,Afghanistan,2,0,0,35,0
2022-04-13,Japan,29,0,0,92,0
2022-04-13,Sweden,2,0,0,7,0
2022-04-14,Afghanistan,2,0,0,35,0
2022-04-14,Japan,29,0,0,92,0
2022-04-14,Sweden,2,0,0,7,0
2022-04-15,Afghanistan,2,0,0,35,0
2022-04-15,Japan,29,0,0,92,0
2022-04-15,Sweden,2,0,0,7,0
2022-04-16,Afghanistan,2,0,0,35,0
2022-04-16,Japan,29,0,0,92,0
2022-04-16,Sweden,2,0,0,7,0
2022-04-17,Afghanistan,2,0,0,35,0
2022-04-17,Japan,29,1,0,91,0
2022-04-17,Sweden,2,0,0,7,0
2022-04-18,Afghanistan,2,1,0,34,0
2022-04-18,Japan,29,3,0,89,0
2022-04-18,Sweden,2,0,0,7,0
2022-04-19,Afghanistan,2,1,0,34,0
2022-04-19,Japan,29,6,1,85,0
2022-04-19,Sweden,2,0,0,7,0
2022-04-20,Afghanistan,2,1,0,34,0
2022-04-20,Japan,29,4,3,85,0
2022-04-20,Sweden,2,0,0,7,0
2022-04-21,Afghanistan,2,2,0,33,0
2022-04-21,Japan,29,5,4,83,0
2022-04-21,Sweden,2,0,0,7,0
2022-04-22,Afghanistan,2,2,1,32,0
2022-04-22,Japan,29,5,4,83,0
2022-04-22,Sweden,2,0,0,7,0
2022-04-23,Afghanistan,2,2,1,32,0
2022-04-23,Japan,29,4,5,83,0
2022-04-23,Sweden,2,0,0,7,0
2022-04-24,Afghanistan,2,1,2,32,0
2022-04-24,Japan,29,4,5,83,0
2022-04-24,Sweden,2,0,0,7,0
2022-04-25,Afghanistan,2,1,2,32,0
2022-04-25,Japan,29,3,5,82,2
2022-04-25,Sweden,2,0,0,7,0
2022-04-26,Afghanistan,2,1,2,32,0
2022-04-26,Japan,29,5,5,79,3
2022-04-26,Sweden,2,0,0,7,0
2022-04-27,Afghanistan,2,1,1,33,0
2022-04-27,Japan,29,2,8,79,3
2022-04-27,Sweden,2,0,0,7,0
2022-04-28,Afghanistan,2,3,1,31,0
2022-04-28,Japan,29,5,7,77,3
2022-04-28,Sweden,2,1,0,6,0
2022-04-29,Afghanistan,2,2,1,31,1
2022-04-29,Japan,29,4,8,77,3
2022-04-29,Sweden,2,1,0,6,0
2022-04-30,Afghanistan,2,3,1,30,1
2022-04-30,Japan,29,4,6,79,3
2022-04-30,Sweden,2,0,1,6,0
